Field,Type,Null,Key,Default,Extra
actor_id,"smallint unsigned",NO,PRI,NULL,
film_id,"smallint unsigned",NO,PRI,NULL,
last_update,timestamp,NO,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
