Field,Type,Null,Key,Default,Extra
film_id,"smallint unsigned",NO,PRI,NULL,
category_id,"tinyint unsigned",NO,PRI,NULL,
last_update,timestamp,NO,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
