Field,Type,Null,Key,Default,Extra
address_id,"smallint unsigned",NO,PRI,NULL,auto_increment
address,varchar(50),NO,,NULL,
address2,varchar(50),YES,,NULL,
district,varchar(20),NO,,NULL,
city_id,"smallint unsigned",NO,MUL,NULL,
postal_code,varchar(10),YES,,NULL,
phone,varchar(20),NO,,NULL,
location,geometry,NO,MUL,NULL,
last_update,timestamp,NO,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
