Field,Type,Null,Key,Default,Extra
actor_id,"smallint unsigned",NO,PRI,NULL,auto_increment
first_name,varchar(45),NO,,NULL,
last_name,varchar(45),NO,MUL,NULL,
last_update,timestamp,NO,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
