Field,Type,Null,Key,Default,Extra
category_id,"tinyint unsigned",NO,PRI,NULL,auto_increment
name,varchar(25),NO,,NULL,
last_update,timestamp,NO,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
